ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
7737,[H]OC([H])([H])C([H])(C([H])([H])N([H])[H])C1(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])OC([H])(C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0,,
2508,O=C(C=CC1=CC=CN=C1)C1=CC=CC=C1,,,1.0
6724,[H]OC1=C(C([H])=NC2=C([H])C([H])=C(C([H])=C2[H])S(=O)(=O)N([H])C2=NC([H])=C([H])N=C2OC([H])([H])[H])C(=NN1C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],0.0,,
4464,[H]N(C1=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C1[H])C1=C2C([H])=C([H])C([H])=C([H])C2=NC2=C1C([H])=C([H])C([H])=C2[H],1.0,,
371,CCC1=NN=C(NS(=O)(=O)C2=CC=C(NC(=O)C3=NC4=CC=CC=C4S3)C=C2)S1,0.0,0.0,
5053,[H]N([H])C1=NC(N(C(=N1)N([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.0,,
7361,[H]N(C(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],0.0,,
4396,[H]N(C(=O)C1=C(N=C([H])S1)C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F,1.0,,
1901,CC1=CC(C)(C)N(CC2=CC=CC=C2)C2=CC=C(O)C=C12,,,1.0
2476,COC1=CC=C(OCC2=CC=C(C=C2)C(N)=N)C=C1,,,1.0
5577,[H]C1=C([H])C(OC([H])([H])[H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])N(C2=C([H])C([H])=C([H])C(=C2[H])C(F)(F)F)C([H])([H])C1([H])[H],0.0,,
5382,[H]OC1=C([H])C2=C(C([H])=C1[H])C([H])(C1=C([H])C([H])=C([H])S1)C(C#N)=C(O2)N([H])[H],0.0,,
1929,COC1=CC=CC2=C1C(=O)C=C(OC1=CC=C(NC(C)=O)C=C1)C2=O,,,1.0
