ID,SMILES,Tb.rhodesiense
1806,CC(C)C(NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)NC(CC(O)C(CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,1
2029,CCC(C(C)C)C(=O)CC(C)C1=C(O)C(=O)C2C3CCC4CC(CCC4(C)C3CCC12C)OC1OC(C(OC2OC(C)C(O)C(O)C2O)C(O)C1O)C(O)=O,0
2045,CCC(C(C)C)C(=O)CC(C)C1=C(O)C(=O)C2C3CCC4CC(CCC4(C)C3CCC12C)OC1OC(C(OC2OC(C)C(O)C(O)C2O)C(O)C1O)C(=O)OC,0
930,CN(C)C12CC(C(C(C1)C1=CC=CC=C1)N(CC2)C(=O)CCN1CCN(C)CC1)C1=CC=CC=C1,0
1599,CN1CCN(CCC(=O)OC2CC3(CC(C2C(C3)C2=CC=CC=C2)C2=CC=CC=C2)N2CCCCC2)CC1,1
2197,FC1=C2OCC3C(NC(=O)NC4=CC=C(C=N4)C#N)C3C2=C(F)C=C1,0
1137,[O-][N+](=O)C1=NN(CCCNS(=O)(=O)C2=CC=C(C=C2)C2=CC=CC=C2)C=N1,1
1115,[O-][N+](=O)C1=NN(CC(=O)N2CCC(CC3=CC=CC=C3)CC2)C=N1,1
1797,CCCSC1=CC=C2N=C(NC(=O)OC)NC2=C1,0
1253,COC1=CC(=CC=C1C1=CN(N=N1)C1=CC=CC(=C1)C1=NCCN1)C1=NCCN1,1
1258,OC1=CC=C(C=C1N1C=C(N=N1)C1=CC=C(C=C1)C1=NCCN1)C1=NCCN1,0
1259,COC1=CC=C(C=C1N1C=C(N=N1)C1=CC=C(C=C1)C1=NCCN1)C1=NCCN1,1
1304,OC1=CC(=CC=C1C1=CN(N=N1)C1=CC=CC(=C1)C1=NCCN1)C1=NCCN1,1
1311,C1CN=C(N1)C1=CC=C(C=C1)C1=CN(N=N1)C1=CC=CC(=C1)C1=NCCN1,1
1083,CC(C)C(O)C(=O)OC1C\C=C(C)/CC(OC(=O)C2=COC=C2)C2C(OC(=O)C2=C)\C=C1\C,1
1088,CC(=O)OC1C\C=C(C)/CC(OC(=O)C2=COC=C2)C2C(OC(=O)C2=C)\C=C1\C,1
562,[O-][N+](=O)C1=NN(CCCNCC2=CC=C3C=CC(Cl)=CC3=N2)C=N1,1
10,[O-][N+](=O)C1=NC=CN1CCCCNC1=NC2=CC=C(Cl)C=C2S1,1
2057,OCC1CC2CCN1CC2C#CC1=CC=C(C=C1)C1=CC=CC=C1,1
1134,[O-][N+](=O)C1=NN(CC(=O)NC2=NC3=CC(Cl)=CC=C3O2)C=N1,0
1449,CC1=CC(C)=C(NC2=NC(NCCCCCCNC3=NC(NC4=CC=C(C=C4)C#N)=NC(NC4=C(C)C=C(C)C=C4C)=N3)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=C1,1
1780,CN1CC(=O)N2C(CC3=C(NC4=CC=CC=C34)C2C2=CC=C3OCOC3=C2)C1=O,0
1581,O=C1CC2(CC(C(N1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCOCC1,0
611,C(CCOC1=CC=C(C=C1)C1=CC2=CC(=CC=C2O1)C1=NCCN1)COC1=CC=CC=C1,1
1729,CN(CC=CC#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,0
2098,CNC(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CS)C(=O)NCCC1=CC=CC2=CC=CC=C12,0
2092,CNC(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)NCCC1=CC=CC2=CC=CC=C12,1
451,OC(CN1C=CN=C1)C1=CC(F)=CC=C1OC1=NC2=CC=C(C=C2C=C1CC1=CC=CC=C1)[N+]([O-])=O,1
1027,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)CCCC1=CNC2=CC=CC=C12,0
1211,C1CN=C(NC2=CC3=C(OCCO3)C=C2)N1,0
204,CN1CCN(CC1)C12CC(NCCC(=O)N3CCCC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1
1036,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)CCCC1=CC=CC=C1,1
1031,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)CCCC1=CC=C(C=C1)[N+]([O-])=O,0
912,[O-][N+](=O)C1=CN2CC(CSC2=N1)OC1=CC=C(OC(F)(F)F)C=C1,0
93,CC1=NC2=CC=CC=C2C2=C1NC=C2,0
95,CC(C)CC1=NC2=CC=CC=C2C2=C1N(O)C=C2,0
1829,CCCNCCCNC1=NCCN1,0
1223,NC(=N)NC1=CC=C2CCCC2=C1,1
532,[O-][N+](=O)C1=NC=CN1CCCN(CC1=CC=CC(=C1)C(F)(F)F)CC1=CC=CC(=C1)C(F)(F)F,0
558,[O-][N+](=O)C1=NC=CN1CCCN(CC1=CC=C(C=C1)C(F)(F)F)CC1=CC=C(C=C1)C(F)(F)F,0
1473,CC(C)N=C(N)NC1=CC=C(OC2=CC(OC3=CC=C(NC(N)=NC(C)C)C=C3)=CC=C2)C=C1,1
1467,CN=C(N)NC1=CC=C(OC2=CC(OC3=CC=C(NC(N)=NC)C=C3)=CC=C2)C=C1,1
1476,NC(=N)NC1=CC=C(OC2=CC(OC3=CC=C(NC(N)=N)C=C3)=CC=C2)C=C1,1
643,C(CCCOC1=CC=CC(=C1)C1=NC2=CC=CC=C2N1)CCOC1=CC(=CC=C1)C1=NC2=CC=CC=C2N1,1
197,CN1CCN(CC1)C12CC(NC(=O)CN3CCCCC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1
1200,C1CN=C(NC2=CC=C(C=C2)N2CCCCC2)N1,0
1465,N=C(NC1=CC=C(OC2=CC(OC3=CC=C(NC(=N)C4=CC=C(C=C4)C4=CC=CC=C4)C=C3)=CC=C2)C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,0
1520,O=C(NC1=CC=C(C=C1)C1=NCCN1)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1=NCCN1,1
1122,[O-][N+](=O)C1=NC=CN1CCCNS(=O)(=O)C1=CC=C(C=C1)C(F)(F)F,0
1913,NC1=NC(NCCCNCCCCNCCCNC2=NC(N)=NC(N)=N2)=NC(N)=N1,0
443,COC1=CC=CC(CN2CCN(CC(O)COC3(C)C4=CC=CC=C4C4=C3C(=NC3=CC=C(Br)C=C43)N3CCN(CC3)C(C3=CC=CC=C3)C3=CC=CC=C3)CC2)=C1,1
1321,NCCCCC(=O)NC1=CC=C(CCC2=CC=C(NC(N)=N)C=C2)C=C1,0
1205,NC(=N)NC1=CC=C(CCC2=CC=C(NC(N)=N)C=C2)C=C1,1
1326,NCCCC(=O)NC1=CC=C(CCC2=CC=C(NC(N)=N)C=C2)C=C1,0
51,N=C(NC1CCCCC1)C1=CC=C(NC2=NC3=CC(=CC=C3N2)C(=N)NC2CCCCC2)C=C1,1
2228,NC1=NC(NCCCNC2CCCCC2NCCCNC2=NC(N)=NC(N)=N2)=NC(N)=N1,0
1597,CN1CCN(CC(=O)NC2CC3(CC(C2C(C3)C2=CC=CC=C2)C2=CC=CC=C2)N2CCN(C)CC2)CC1,1
